Направление,Куратор,ИД_Категории,Категория,ИД_Подкатегории,parrent_ID,Тип,период на принятие,Период на исполнение,Требуется акт
МКД,ГЖИ,39088,Многоквартирные дома,39149,3883,Отсутствие договора на техническое обслуживание внутридомового газового оборудования,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39150,3883,Наличие коррозии газопроводов,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39151,3883,Использование газопроводов в качестве опор для других устройств,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39152,3883,"Несоответствие, необоснованное завышение тарифа на содержание и текущий ремонт",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39153,3883,Несоответствие площади,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39154,3883,Выставление платы за дополнительные услуги,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39155,3883,"Несоответствие, необоснованное завышение тарифов за коммунальные услуги",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39156,3883,Завышение платы (несоответствие порядка) за коммунальные услуги,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39157,3883,"Завышенные объемы потребления коммунальных услуг ЦО, ГВС, ХВС, ЭЭ",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39158,3883,Непроведение/некорректное проведение ежегодного перерасчета платы за отопление (при наличии ОДПУ),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39159,3883,Непроведение перерасчета платы за некачественно оказанные жилищно-коммунальные услуги,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39160,3883,Непроведение капитального ремонта,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39161,3883,Некачественно выполненный капитальный ремонт,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39163,3883,"Легитимность создания ТСЖ, ЖСК, ТСН и др объединений",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39165,3883,"Легитимность выбора председателей, правления ТСЖ, ЖСК, ТСН",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39166,3883,"Несоответствие устава ТСЖ, ЖСК, ТСН",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39167,3883,Несоответствие договора управления МКД,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39168,3883,Незаконная перепланировка/переоборудование в жилых помещениях,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39169,3883,Незаконная перепланировка/переоборудование в нежилых помещениях,24,72,1
