edsAddressGUID,edsFIASAddressGUID,edsAddressType,edsOKTMO,edsAddressName,edsRegion,edsArea,edsCity,edsStreet,edsEstStatus,edsHouseNum,edsHouseType,edsOrgGUID,edsName,edsFullName,edsAddress,edsAddressJur,edsAddressDisp,edsTypeOrg
A9B88D90-BA54-11E7-8E30-FE5F11EEAB0E,c419a985-4fe7-49f9-afc9-75767504792d,8,46648157051,"Раменский р-н, г. Раменское, дп. Кратово, ул. Гоголя, д.2","Московская обл","Раменский р-н","г. Раменское","ул. Гоголя",2,2,2
A9BF66F6-BA54-11E7-8E30-FE5F11EEAB0E,01dafd6d-14f1-4bcc-86c4-99bb24923aa5,8,46648155051,"Раменский р-н, г. Раменское, рп. Ильинский, ул. Чапаевская 2-я, д.1","Московская обл","Раменский р-н","г. Раменское","ул. Чапаевская 2-я",2,1,
A9C2533E-BA54-11E7-8E30-FE5F11EEAB0E,37c3c1e2-8027-4ffa-8b95-2b3f38f9e64f,8,46648443121,"Раменский р-н, с. Малышево, ул. Пограничная, д.8","Московская обл","Раменский р-н",,"ул. Пограничная",2,8,2
A9C83380-BA54-11E7-8E30-FE5F11EEAB0E,7e7f4d3d-5b48-4f94-94a3-bb8ea993cffc,8,46648101001,"Раменский р-н, г. Раменское, мкр. Гостица, ул. Ясная, д.18","Московская обл","Раменский р-н","г. Раменское","ул. Ясная",2,18,2
A9CAB786-BA54-11E7-8E30-FE5F11EEAB0E,7ba3bd16-893e-4ff4-9ed7-2bed37cdb6ec,8,46648422101,"Раменский р-н, с. Новое, ул. Ленинская, д.22","Московская обл","Раменский р-н",,"ул. Ленинская",2,22,2
A9CEDED8-BA54-11E7-8E30-FE5F11EEAB0E,564b01fb-b45c-44ac-9461-02c87248eaef,8,46648152,"Раменский р-н, г. Раменское, рп. Быково, пер. Октябрьский 3-й, д.16","Московская обл","Раменский р-н","г. Раменское","пер. Октябрьский 3-й",2,16,2
A9D07A0E-BA54-11E7-8E30-FE5F11EEAB0E,5dc3ee27-3564-4c33-a6da-f0610c578edf,8,46648101,"Раменский р-н, г. Раменское, ул. Центральная, д.68","Московская обл","Раменский р-н","г. Раменское","ул. Центральная",2,68,
A9D9AA8E-BA54-11E7-8E30-FE5F11EEAB0E,c0a50a62-5442-4523-afac-f087997e818a,8,46648101,"Раменский р-н, г. Раменское, ул. Некрасова, д.27в","Московская обл","Раменский р-н","г. Раменское","ул. Некрасова",2,27в,2
A9E223BC-BA54-11E7-8E30-FE5F11EEAB0E,0996b91b-81a8-443d-9574-2e6f7998f312,8,46648434136,"Раменский р-н, д. Ждановское, д.333","Московская обл","Раменский р-н",,,2,333,
A9E52E18-BA54-11E7-8E30-FE5F11EEAB0E,5edc47cb-9595-4189-a54b-95625ab30b39,8,46648157051,"Раменский р-н, г. Раменское, дп. Кратово, ул. 3-я Параллельная, д.24а","Московская обл","Раменский р-н","г. Раменское","ул. 3-я Параллельная",2,24а,
